seed,model,mse,psnr,r2,n_train_pairs,n_test_pairs
0,HVK2D-cifar-nonlocal-entangling,8.551983599545731e-16,120.0,0.9999999999999993,576,384
0,no-entanglement-single-site,0.9484379808773168,0.22991062712451996,0.21962518171634948,576,384
0,left-patch-only,1.2230380058689496,-0.8743995293383608,-0.006315732633484394,576,384
0,right-patch-only,1.2616575260624001,-1.009414827002805,-0.03809187578760831,576,384
0,strict-classical-rff,0.8285662400563489,0.8167276601229634,0.31825565608218787,576,384
0,quadratic-pair-classical,0.14772243767479704,8.305535343545408,0.8784539708645438,576,384
0,degree2-polynomial-kernel,0.25197514791517517,5.986422911848996,0.7926748356445923,576,384
0,random-vqc,1.420490273858354,-1.5243826444113835,-0.16877946864856264,576,384
0,raw-linear,0.8855085283824906,0.5280725173915859,0.2714035383885629,576,384
1,HVK2D-cifar-nonlocal-entangling,8.850277683653929e-16,120.0,0.9999999999999996,576,384
1,no-entanglement-single-site,2.0671286683532557,-3.153675101138172,-0.03464852591163803,576,384
1,left-patch-only,2.041153934428058,-3.098757584405924,-0.021647535417871788,576,384
1,right-patch-only,2.099329380738097,-3.220805838965582,-0.05076577110896863,576,384
1,strict-classical-rff,1.5690608851062646,-1.9563979607428619,0.2146465981074691,576,384
1,quadratic-pair-classical,0.3452716841972955,4.618390367710424,0.8271830657845088,576,384
1,degree2-polynomial-kernel,0.5429524950476243,2.6523816680378913,0.7282389784238292,576,384
1,random-vqc,2.2427693171316525,-3.507846059731115,-0.12256097235528474,576,384
1,raw-linear,1.9496578167974852,-2.899583953025378,0.024148512347517137,576,384
2,HVK2D-cifar-nonlocal-entangling,3.258128433112599e-16,120.0,0.9999999999999998,576,384
2,no-entanglement-single-site,1.0062919290509518,-0.02723989451539062,0.30181831605189047,576,384
2,left-patch-only,1.0826412757592507,-0.3448458057211521,0.24884589928669631,576,384
2,right-patch-only,1.1188830493987767,-0.48784694521983696,0.22370076811906947,576,384
2,strict-classical-rff,0.8178604072773256,0.873208155494233,0.4325551662469337,576,384
2,quadratic-pair-classical,0.14093816303037288,8.509713933394712,0.902214813458852,576,384
2,degree2-polynomial-kernel,0.38190497546796853,4.1804468359000255,0.735028125355374,576,384
2,random-vqc,1.572604795882687,-1.9661959577524648,-0.09109874866009582,576,384
2,raw-linear,0.9439985813917606,0.25028658344084825,0.3450384523879507,576,384
3,HVK2D-cifar-nonlocal-entangling,7.120241162853566e-17,120.0,0.9999999999999999,576,384
3,no-entanglement-single-site,1.000320143063409,-0.0013901411484296736,-0.6791210618452286,576,384
3,left-patch-only,1.0923621929363416,-0.3836666063351288,-0.8336213441685985,576,384
3,right-patch-only,0.8424220257484922,0.7447028672288059,-0.4140758598189618,576,384
3,strict-classical-rff,0.6843120521713962,1.6474581109905726,-0.14867503932956994,576,384
3,quadratic-pair-classical,0.29772640949377044,5.261826400301153,0.5002413094296172,576,384
3,degree2-polynomial-kernel,0.34948468728177307,4.565718481721397,0.41336070929242474,576,384
3,random-vqc,0.685338685019498,1.6409475305591532,-0.15039832846853574,576,384
3,raw-linear,0.893943099887211,0.48690123476382635,-0.5005582937828337,576,384
4,HVK2D-cifar-nonlocal-entangling,1.554339621524035e-16,120.0,0.9999999999999999,576,384
4,no-entanglement-single-site,1.5430669300569066,-1.883847638622313,-0.03309216562811135,576,384
4,left-patch-only,2.0604839848678416,-3.139692433155679,-0.3795058533790596,576,384
4,right-patch-only,2.173580309252003,-3.371756910972035,-0.4552244916356025,576,384
4,strict-classical-rff,0.9823801617950857,0.07720416265933383,0.3422908436113322,576,384
4,quadratic-pair-classical,0.2132554063546792,6.710999499834543,0.8572242815321475,576,384
4,degree2-polynomial-kernel,0.4207187854052869,3.760080959798792,0.7183263585859186,576,384
4,random-vqc,1.5622028602298368,-1.9373742861808994,-0.04590378070363599,576,384
4,raw-linear,1.5681988728624756,-1.9540113737267193,-0.049918145573446315,576,384
